LocationID,Locality,District,Longitude,Latitude,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus armeniaca L.,Rosaceae,Prunus,armeniaca,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus cerasifera f. atropurpurea (Jacq.) Rehd.,Rosaceae,Prunus,cerasifera,Forma,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus conradinae Koehne,Rosaceae,Prunus,conradinae,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus dielsiana (C.K.Schneid.) Koehne,Rosaceae,Prunus,dielsiana,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus japonica Thunb.,Rosaceae,Prunus,japonica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus mume (Siebold) Siebold & Zucc.,Rosaceae,Prunus,mume,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus persica (L.) Batsch,Rosaceae,Prunus,persica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus persica f. atropurpurea Schneid.,Rosaceae,Prunus,persica,Forma,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus serrulata Lindl.,Rosaceae,Prunus,serrulata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus subhirtella Miq.,Rosaceae,Prunus,subhirtella,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus triloba Lindl.,Rosaceae,Prunus,triloba,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Prunus yedoensis Matsum.,Rosaceae,Prunus,yedoensis,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pseudosasa japonica (Steud.) Makino,Poaceae,Pseudosasa,japonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pterocarya stenoptera C. DC.,Juglandaceae,Pterocarya,stenoptera,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Punica granatum L.,Lythraceae,Punica,granatum,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pyracantha fortuneana (Maxim.) H.L.Li,Rosaceae,Pyracantha,fortuneana,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pyrus serrulata Rehder,Rosaceae,Pyrus,serrulata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Quercus acutissima Carruth.,Fagaceae,Quercus,acutissima,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Quercus glauca Thunb.,Fagaceae,Quercus,glauca,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Quercus myrsinifolia Blume,Fagaceae,Quercus,myrsinifolia,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Reineckea carnea (Andrews) Kunth,Asparagaceae,Reineckea,carnea,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Rhododendron simsii Planch.,Ericaceae,Rhododendron,simsii,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Rhus chinensis Mill.,Anacardiaceae,Rhus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Robinia decaisneana Verl.,Leguminosae,Robinia,decaisneana,Species,Tree,Nonnative,48
