LocationID,Locality,District,Longitude,Latitude,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Anthus hodgsoni (Richmond, 1907)",Motacillidae,Anthus,hodgsoni,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Acridotheres cristatellus (Linnaeus, 1758)",Sturnidae,Acridotheres,cristatellus,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Sturnus sericeus (Gmelin, 1789)",Sturnidae,Sturnus,sericeus,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Cyanopica cyanus (Pallas, 1776)",Corvidae,Cyanopica,cyanus,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Tarsiger cyanurus (Pallas, 1773)",Muscicapidae,Tarsiger,cyanurus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Turdus hortulorum (P.L.Sclater, 1863)",Turdidae,Turdus,hortulorum,Species,M,Whole year,240
