LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
39,"East China Normal University, Minhang Campus",Fatsia japonica (Thunb.) Decne. & Planch.,Araliaceae,Fatsia,japonica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Ficus carica L.,Moraceae,Ficus,carica,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Firmiana simplex (L.) W.Wight,Malvaceae,Firmiana,simplex,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Forsythia viridissima Lindl.,Oleaceae,Forsythia,viridissima,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Fraxinus chinensis Roxb.,Oleaceae,Fraxinus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Gardenia jasminoides J.Ellis,Rubiaceae,Gardenia,jasminoides,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Gardenia stenophylla Merr.,Rubiaceae,Gardenia,stenophylla,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Ginkgo biloba L.,Ginkgoaceae,Ginkgo,biloba,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Hedera helix L.,Araliaceae,Hedera,helix,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Hibiscus mutabilis L.,Malvaceae,Hibiscus,mutabilis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Hibiscus syriacus L.,Malvaceae,Hibiscus,syriacus,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Hosta ventricosa Stearn,Asparagaceae,Hosta,ventricosa,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Hydrangea macrophylla (Thunb.) Ser.,Hydrangeaceae,Hydrangea,macrophylla,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Hypericum monogynum L.,Hypericaceae,Hypericum,monogynum,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Ilex cornuta Lindl. & Paxton,Aquifoliaceae,Ilex,cornuta,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Ilex crenata f. convexa (Makino) Rehder,Aquifoliaceae,Ilex,crenata,Forma,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Iris japonica Thunb.,Iridaceae,Iris,japonica,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Iris pseudacorus L.,Iridaceae,Iris,pseudacorus,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Iris tectorum Maxim.,Iridaceae,Iris,tectorum,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Jasminum floridum Bunge,Oleaceae,Jasminum,floridum,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Jasminum mesnyi Hance,Oleaceae,Jasminum,mesnyi,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Jasminum nudiflorum Lindl.,Oleaceae,Jasminum,nudiflorum,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Juglans mandshurica Maxim.,Juglandaceae,Juglans,mandshurica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Juniperus chinensis L.,Cupressaceae,Juniperus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Kerria japonica (L.) DC.,Rosaceae,Kerria,japonica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Kerria japonica f. pleniflora (Witte) Rehder,Rosaceae,Kerria,japonica,Forma,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Koelreuteria bipinnata Franch.,Sapindaceae,Koelreuteria,bipinnata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Lagerstroemia indica L.,Lythraceae,Lagerstroemia,indica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Laurus nobilis L.,Lauraceae,Laurus,nobilis,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Ligustrum japonicum Thunb.,Oleaceae,Ligustrum,japonicum,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Ligustrum lucidum W.T.Aiton,Oleaceae,Ligustrum,lucidum,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Ligustrum quihoui Carrière,Oleaceae,Ligustrum,quihoui,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Ligustrum sinense Lour.,Oleaceae,Ligustrum,sinense,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Liquidambar formosana Hance,Altingiaceae,Liquidambar,formosana,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Liriodendron chinense (Hemsl.) Sarg.,Magnoliaceae,Liriodendron,chinense,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Liriope muscari (Decne.) L.H.Bailey,Asparagaceae,Liriope,muscari,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Loropetalum chinense var. rubrum Yieh,Hamamelidaceae,Loropetalum,chinense,Varietas,Tree,Native,48
